,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Clusters,TestImg,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
38,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,1,64,lenna.bmp,2.9747727354440485,40.679617106895584,0.9883261395664383
39,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,1,128,lenna.bmp,3.8420924752703796,46.93839473959713,0.997358034384419
40,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,1,256,lenna.bmp,4.66348277434787,52.461747538649504,0.9990688654479333
41,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,1,512,lenna.bmp,5.4441573726901265,59.12255395251968,0.9998332768350571
42,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,8,lenna.bmp,0.7014500078829946,18.83249141910345,0.3653347270597048
43,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,16,lenna.bmp,1.2994636281239336,27.027837753744393,0.7758595559932434
44,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,32,lenna.bmp,2.0233627825029084,32.536572665666284,0.895986040148434
45,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,64,lenna.bmp,2.9309832975188557,39.23172586575686,0.9773902215554557
46,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,128,lenna.bmp,3.855748236238675,45.410387515837066,0.9944966083996518
47,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,256,lenna.bmp,4.750866368295096,51.53235749983417,0.9986601502430323
48,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,2,512,lenna.bmp,5.6022940629953695,57.2363296633296,0.9996112380716058
49,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,8,lenna.bmp,0.6506279442142634,16.740412577379804,0.2726501925487004
50,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,16,lenna.bmp,1.234679120354184,25.710415172207043,0.7016586331368699
51,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,32,lenna.bmp,1.946432559126064,30.776849471907447,0.8363150666815667
52,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,64,lenna.bmp,2.821268692273367,37.56342481238816,0.9605919897938119
53,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,128,lenna.bmp,3.7556632113332777,43.780042960309075,0.9903278571613896
54,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,256,lenna.bmp,4.687406975535947,48.937889582517116,0.9966339766947041
55,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,3,512,lenna.bmp,5.573313255213756,55.68136155819259,0.9993487222644551
56,Q0_IN_02_ST_BI_D2_OB,ONB,Best In 2-point Standard,Biorthogonal In 2-point Standard,"D2 With Center (1/2,0)",QuincunxRotation,1,1,1,True,Haar wavelet,4,8,lenna.bmp,0.6604805171183811,15.77787057381816,0.24123717134718692
