Index,Estimated_CR,PSNR_Uniform,SSIM_Uniform,CR
Q0_IN_03_ST_BI_NS_FR,0.0110485434560398,43.31134590472754,0.9883848025639904,0.9889514565439602
Q0_IN_03_ST_BI_NS_FR,0.03125,35.70739301812328,0.9430938940016323,0.96875
Q0_IN_03_ST_BI_NS_FR,0.0883883476483184,28.67355341478397,0.8365540936988659,0.9116116523516816
Q0_IN_03_ST_BI_NS_FR,0.25,22.012581815159816,0.705914838363767,0.75
Q0_IN_03_HL_DF_D2_FL,0.00390625,62.21501044734991,0.9998937311537366,0.99609375
Q0_IN_03_HL_DF_D2_FL,0.0110485434560398,62.21501044734991,0.9998937311537366,0.9889514565439602
Q0_IN_03_HL_DF_D2_FL,0.03125,34.67562374124744,0.9491415361813124,0.96875
Q0_IN_03_HL_DF_D2_FL,0.0883883476483184,27.315895662276738,0.833066164093704,0.9116116523516816
Q0_IN_03_HL_DF_D2_FL,0.25,20.506366392528538,0.6762614915958423,0.75
Q0_IN_03_HL_BI_D2_FS,0.00390625,52.13205138173306,0.998525581890342,0.99609375
Q0_IN_03_HL_BI_D2_FS,0.0110485434560398,43.37359716542685,0.9892107526822346,0.9889514565439602
Q0_IN_03_HL_BI_D2_FS,0.03125,35.340365471103404,0.9415890498794848,0.96875
Q0_IN_03_HL_BI_D2_FS,0.0883883476483184,28.595359853579623,0.8427172331641815,0.9116116523516816
Q0_IN_03_HL_BI_D2_FS,0.25,21.485761515526896,0.7022424063813946,0.75
Q0_IN_05_R1_DF_D4_FL,0.00390625,61.462180876117365,0.9998770128497942,0.99609375
Q0_IN_05_R1_DF_D4_FL,0.0110485434560398,61.462180876117365,0.9998770128497942,0.9889514565439602
Q0_IN_05_R1_DF_D4_FL,0.03125,33.9780874932937,0.9436698559061176,0.96875
Q0_IN_05_R1_DF_D4_FL,0.0883883476483184,26.66663431537465,0.8201468848402697,0.9116116523516816
Q0_IN_05_R1_DF_D4_FL,0.25,20.187753007873702,0.6636764950777087,0.75
 Q0_IN_05_R1_BI_D4_FR,0.00390625,50.95257294880231,0.9979036128348816,0.99609375
 Q0_IN_05_R1_BI_D4_FR,0.0110485434560398,43.081294016530016,0.9875749782599162,0.9889514565439602
 Q0_IN_05_R1_BI_D4_FR,0.03125,36.003992579011275,0.945434381179062,0.96875
 Q0_IN_05_R1_BI_D4_FR,0.0883883476483184,28.48441115313441,0.8434715178510487,0.9116116523516816
 Q0_IN_05_R1_BI_D4_FR,0.25,21.67363037888512,0.7179459556236094,0.75
Q1_IN_02_ST_DF_NS_FL,0.00390625,61.93722961778749,0.9998844096518004,0.99609375
Q1_IN_02_ST_DF_NS_FL,0.0110485434560398,61.93722961778749,0.9998844096518004,0.9889514565439602
Q1_IN_02_ST_DF_NS_FL,0.03125,33.94366178324806,0.9362309613566918,0.96875
Q1_IN_02_ST_DF_NS_FL,0.0883883476483184,26.197184171015763,0.7674672843286358,0.9116116523516816
Q1_IN_02_ST_DF_NS_FL,0.25,19.694730971157597,0.5799798299193517,0.75
Q1_IN_02_ST_BI_D2_OB,0.00390625,50.670841414754754,0.9978647425410592,0.99609375
Q1_IN_02_ST_BI_D2_OB,0.0110485434560398,41.93081043001548,0.9848143432762486,0.9889514565439602
Q1_IN_02_ST_BI_D2_OB,0.03125,34.228710607087265,0.9266467915573046,0.96875
Q1_IN_02_ST_BI_D2_OB,0.0883883476483184,27.935812652514965,0.8127834180135135,0.9116116523516816
