,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,SR,DualSR,ValidPRP,SourceInfo,Quant,Level,Clusters,TestImg,Entropy_KMeans,PSNR_KMeans,SSIM_KMeans,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
22,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,128,lenna.bmp,5.482207015725448,52.91419154833279,0.9990265144225083,4.229347590772044,45.65809396633915,0.9924745793344436
23,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,256,lenna.bmp,6.4024106802583,61.18823830292817,0.999880722713862,5.081641350739678,52.28119452590195,0.9982920180038617
24,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,2,lenna.bmp,0.16915263332609165,15.995478713181994,0.5023839917442098,0.4906319383748974,-4.544167875942035,0.021818767906844845
25,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,4,lenna.bmp,0.7534792660042336,22.77139983079147,0.6569198256436313,0.5935447353462202,6.523994540729761,0.11132601008370176
26,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,8,lenna.bmp,1.9320806383876767,27.121072355547867,0.7820031895638357,0.8062444452129048,16.52757904308028,0.3490901757068841
27,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,16,lenna.bmp,2.693494305080531,31.99379103554444,0.9047929339106534,1.222754573877491,27.70583211082098,0.7402688411805634
28,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,32,lenna.bmp,3.5765903091097533,38.28250017384888,0.9741077161496736,2.1673917088574095,31.391791023344766,0.8467919637126252
29,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,64,lenna.bmp,4.535477982800625,44.637567981914955,0.9940401891952582,3.0363992192376443,37.80370341579317,0.9572679242797123
30,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,128,lenna.bmp,6.437173362263373,60.86502918152617,0.9998800743958048,3.9481561778213212,44.46451317608839,0.990519142492405
31,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,4,256,lenna.bmp,6.437173362263373,60.86502918152617,0.9998800743958048,4.819027575367203,51.16706102261573,0.9978633309000653
32,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,2,lenna.bmp,0.12276107135754327,15.544475411046623,0.5076907212805737,0.45673105906876266,-6.053517178938003,0.0181939404763259
33,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,4,lenna.bmp,0.5483513290784828,19.796819961110327,0.5940804334373364,0.5176219494868489,4.969536893887797,0.09464147556649008
34,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,8,lenna.bmp,1.9885798198695743,26.32120613965348,0.7882773637435498,0.6774960401777113,15.100464237176784,0.31424359070393
35,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,16,lenna.bmp,2.732833203499089,30.975974758633388,0.9005943660593645,1.0675832198224893,26.869453315943392,0.7191152820382479
36,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,32,lenna.bmp,3.546368882561504,37.326608437739246,0.971568882001495,2.0102076521726095,30.415838747909014,0.8260678989734191
37,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,64,lenna.bmp,4.4906912816467415,43.71332455738869,0.9937424446162904,2.8756657069943627,36.78662082200023,0.9496133121050148
38,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,128,lenna.bmp,5.3459140472139675,50.69295559095161,0.9986798919385561,3.7898846338734558,43.51822960455549,0.9887834525185462
39,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,5,256,lenna.bmp,6.215182672700125,58.40917354750588,0.9998052097905017,4.6683529502104655,50.24811885596223,0.9974578189485743
40,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,6,2,lenna.bmp,0.3483962834264466,17.083973098511006,0.5518892928305081,0.5079540718650809,-6.946737327178274,0.01823224916376937
41,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,6,4,lenna.bmp,0.6177669631466893,18.547658312047314,0.5541926054783439,0.5451908773732723,3.8373072007996245,0.088484915154727
42,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,6,8,lenna.bmp,1.987776564988918,25.203828123040374,0.7824271114800044,0.6761792794886212,13.490275330130077,0.27684225303036886
43,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,6,16,lenna.bmp,2.7198997293919556,30.15335460444033,0.9000420647818276,1.0259334429816547,24.80221683272674,0.6451239995305605
